time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-11-19 08:00:00+00:00,2025-11-19 08:10:00+00:00,BUY,4087.25643,4079.15645,0.19,-154.56,1.33,SL,HIGH_VOLATILITY,0.8,33.79,0.61,TOKYO
2025-11-20 13:00:00+00:00,2025-11-20 13:05:00+00:00,SELL,4081.71797,4089.33425,0.19,-145.37,1.33,SL,HIGH_VOLATILITY,0.8,27.19,1.0,LONDON
2025-11-20 23:05:00+00:00,2025-11-20 23:40:00+00:00,BUY,4073.79092,4088.10886,0.07,99.98,0.49,TP,HIGH_VOLATILITY,0.8,25.87,0.94,NEW_YORK
2025-11-24 03:40:00+00:00,2025-11-24 07:40:00+00:00,SELL,4057.07047,4064.77493,0.17,-131.57,1.19,SL,HIGH_VOLATILITY,0.8,47.8,0.65,TOKYO
2025-11-24 10:55:00+00:00,2025-11-24 13:20:00+00:00,BUY,4065.85781,4084.94749,0.13,247.71,0.91,TP,HIGH_VOLATILITY,0.8,26.36,0.9,LONDON
2025-11-24 14:30:00+00:00,2025-11-24 16:10:00+00:00,BUY,4076.03068,4094.73434,0.17,317.37,1.19,TP,TRENDING,0.8,22.83,0.78,LONDON
2025-11-25 01:00:00+00:00,2025-11-25 02:40:00+00:00,BUY,4130.02553,4150.96239,0.17,355.33,1.19,TP,TRENDING,0.8,38.06,0.75,TOKYO
2025-11-25 04:05:00+00:00,2025-11-25 07:35:00+00:00,BUY,4139.91901,4132.12011,0.21,-164.51,1.47,SL,TRENDING,0.8,42.78,0.66,TOKYO
2025-11-25 12:45:00+00:00,2025-11-25 13:05:00+00:00,BUY,4117.27861,4138.43138,0.22,464.59,1.54,TP,HIGH_VOLATILITY,0.8,38.87,0.62,LONDON
2025-11-25 20:55:00+00:00,2025-11-26 01:40:00+00:00,BUY,4131.28468,4149.25585,0.11,197.3,0.77,TP,HIGH_VOLATILITY,0.8,33.46,0.81,NEW_YORK
2025-11-26 04:25:00+00:00,2025-11-26 06:35:00+00:00,BUY,4158.73776,4151.04031,0.22,-170.11,1.54,SL,HIGH_VOLATILITY,0.8,54.59,1.14,TOKYO
2025-11-26 10:45:00+00:00,2025-11-26 12:45:00+00:00,BUY,4158.51629,4150.85351,0.22,-169.35,1.54,SL,HIGH_VOLATILITY,0.8,34.46,0.55,LONDON
2025-11-26 20:05:00+00:00,2025-11-27 01:10:00+00:00,BUY,4164.00533,4157.66427,0.05,-31.88,0.35,SL,HIGH_VOLATILITY,0.8,27.59,1.07,NEW_YORK
2025-11-27 02:55:00+00:00,2025-11-27 23:00:00+00:00,BUY,4147.68843,4160.03885,0.15,184.73,0.53,GAP,HIGH_VOLATILITY,0.8,0.0,37.42,TOKYO
2025-11-28 02:35:00+00:00,2025-11-28 04:25:00+00:00,BUY,4187.29238,4180.70871,0.25,-165.47,1.75,SL,TRENDING,0.8,39.92,1.07,TOKYO
2025-11-28 07:30:00+00:00,2025-11-28 07:55:00+00:00,BUY,4183.17723,4175.39726,0.16,-125.04,1.12,SL,TRENDING,0.8,29.59,1.0,TOKYO
2025-11-28 13:25:00+00:00,2025-11-28 14:10:00+00:00,BUY,4169.74117,4189.00796,0.13,250.01,0.91,TP,HIGH_VOLATILITY,0.8,36.45,0.87,LONDON
2025-11-28 19:35:00+00:00,2025-11-30 23:05:00+00:00,BUY,4218.08793,4219.07918,0.11,10.52,0.39,GAP,TRENDING,0.8,0.0,90.88,NEW_YORK
2025-12-01 08:50:00+00:00,2025-12-01 10:10:00+00:00,BUY,4240.35513,4261.1013,0.19,393.51,1.33,TP,HIGH_VOLATILITY,0.8,41.72,0.84,TOKYO
2025-12-01 12:15:00+00:00,2025-12-01 14:00:00+00:00,BUY,4249.25025,4242.42704,0.26,-178.31,1.82,SL,HIGH_VOLATILITY,0.8,27.48,1.28,LONDON
2025-12-01 21:05:00+00:00,2025-12-01 23:00:00+00:00,BUY,4236.89359,4229.53409,0.12,-88.73,0.84,SL,HIGH_VOLATILITY,0.8,22.49,0.63,NEW_YORK
2025-12-02 04:40:00+00:00,2025-12-02 06:25:00+00:00,BUY,4216.10865,4208.70767,0.2,-148.72,1.4,SL,HIGH_VOLATILITY,0.8,50.75,0.47,TOKYO
2025-12-02 12:05:00+00:00,2025-12-02 13:00:00+00:00,SELL,4207.49593,4215.31359,0.14,-109.94,0.98,SL,HIGH_VOLATILITY,0.8,18.17,1.11,LONDON
